country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
ITALY,45-64,With Children,0,2,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6,Yes,Higher Cost
RWANDA,25-44,With Spouse and Children,3,1,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,0,Yes,Higher Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,No,No,No,No,14,7,Yes,High Cost
SWIZERLAND,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,7,0,Yes,Normal Cost
NIGERIA,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,Yes,Low Cost
UNITED KINGDOM,18-24,Alone,1,0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,0,Yes,Normal Cost
AUSTRALIA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
UNITED KINGDOM,18-24,Alone,0,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,14,Yes,Higher Cost
FRANCE,45-64,With Spouse and Children,2,1,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,17,9,No,Higher Cost
SPAIN,45-64,With Spouse and Children,3,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,Yes,12,6,No,Higher Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,No,Yes,Yes,Yes,7,8,Yes,Higher Cost
DENMARK,45-64,Alone,0,1,Leisure and Holidays,Bird Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,No,High Cost
BELGIUM,45-64,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,8,0,No,Normal Cost
ZAMBIA,25-44,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost
NETHERLANDS,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,5,0,Yes,Normal Cost
CANADA,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,No,No,17,0,Yes,Higher Cost
UNITED KINGDOM,25-44,Alone,0,1,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,20,0,Yes,High Cost
INDIA,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,3,0,Yes,Normal Cost
NORWAY,25-44,Alone,1,0,Scientific and Academic,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,18,2,Yes,Low Cost
UNITED STATES OF AMERICA,65+,Alone,1,0,Scientific and Academic,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,15,0,No,Low Cost
UNITED KINGDOM,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,Normal Cost
MORROCO,25-44,With Other Friends/Relatives,1,1,Leisure and Holidays,Widlife Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,8,0,Yes,High Cost
CHINA,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,No,No,No,No,No,No,3,0,No,Lower Cost
ZIMBABWE,45-64,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Lower Cost
ITALY,18-24,With Spouse,1,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,5,Yes,Low Cost
CANADA,45-64,With Other Friends/Relatives,2,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,8,2,No,Normal Cost
UNITED STATES OF AMERICA,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,No,6,5,Yes,Higher Cost
GERMANY,18-24,With Other Friends/Relatives,2,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,5,Yes,High Cost
GERMANY,45-64,With Other Friends/Relatives,4,8,Meetings and Conference,Beach Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,12,3,No,Highest Cost
UNITED KINGDOM,45-64,Alone,0,1,Meetings and Conference,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,5,0,No,Normal Cost
CHINA,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,5,5,Yes,High Cost
SOUTH AFRICA,45-64,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,Yes,No,No,17,0,Yes,Higher Cost
UNITED STATES OF AMERICA,25-44,Alone,0,1,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,7,3,Yes,High Cost
SOUTH AFRICA,18-24,With Spouse,1,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,5,Yes,Normal Cost
ZAMBIA,45-64,Alone,0,1,Business,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
UNITED KINGDOM,25-44,With Other Friends/Relatives,2,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,No,Yes,7,6,No,Higher Cost
ZAMBIA,25-44,Alone,0,1,Business,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
AUSTRALIA,45-64,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,11,5,Yes,Higher Cost
UNITED KINGDOM,18-24,Alone,0,1,Business,Bird Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,0,No,Lower Cost
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,Yes,No,6,0,Yes,Normal Cost
GERMANY,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,No,No,No,No,No,15,5,Yes,High Cost
JAPAN,18-24,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,29,0,Yes,Normal Cost
ZIMBABWE,25-44,Alone,0,1,Business,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Lower Cost
UAE,25-44,With Children,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,No,Highest Cost
RUSSIA,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,7,Yes,Normal Cost
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10,0,No,High Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,77,0,Yes,Normal Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,2,0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost
UNITED KINGDOM,25-44,With Spouse and Children,2,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,Yes,Higher Cost
SWIZERLAND,45-64,Alone,1,0,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,27,0,Yes,Normal Cost
GERMANY,25-44,Alone,0,1,Business,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,1,0,No,Normal Cost
UNITED KINGDOM,25-44,Alone,1,0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,2,Yes,Low Cost
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,No,Higher Cost
KENYA,18-24,Alone,1,0,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,1,No,Normal Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
ZIMBABWE,45-64,Alone,0,1,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Low Cost
GREECE,45-64,With Other Friends/Relatives,0,2,Volunteering,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
UNITED KINGDOM,45-64,With Spouse and Children,2,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,0,Yes,Normal Cost
POLAND,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,28,0,Yes,Normal Cost
ITALY,25-44,With Spouse and Children,2,2,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,No,Yes,Yes,No,10,10,Yes,Higher Cost
ZAMBIA,45-64,With Spouse,1,1,Business,Business,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost
AUSTRIA,45-64,With Other Friends/Relatives,4,1,Visiting Friends and Relatives,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,0,No,Normal Cost
SOUTH AFRICA,25-44,With Other Friends/Relatives,1,2,Leisure and Holidays,Bird Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,6,0,No,Lower Cost
MALAYSIA,25-44,Alone,0,1,Meetings and Conference,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
AUSTRALIA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,18,0,Yes,Higher Cost
FRANCE,25-44,With Other Friends/Relatives,1,1,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,11,Yes,Normal Cost
BELGIUM,45-64,With Children,1,2,Leisure and Holidays,Conference Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,4,Yes,Higher Cost
MALAYSIA,45-64,With Other Friends/Relatives,1,2,Business,Widlife Tourism,Others,Package Tour,No,Yes,Yes,Yes,Yes,No,No,3,15,No,High Cost
CZECH REPUBLIC,25-44,With Other Friends/Relatives,2,2,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,6,Yes,Higher Cost
ITALY,25-44,With Other Friends/Relatives,1,1,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,No,High Cost
GERMANY,25-44,With Other Friends/Relatives,3,0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,12,No,Higher Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,9,0,Yes,Higher Cost
AUSTRALIA,45-64,With Children,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,5,Yes,Higher Cost
