age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_people,country_new,cost_category
1~24,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,4,Cash,Yes,1,CHINA,2
25~44,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,No,No,No,Yes,Yes,No,9,3,Cash,Yes,1,UNITED KINGDOM,1
45~64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,3,Cash,Yes,2,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,17,3,Cash,Yes,2,BRAZIL,2
25~44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,10,0,Cash,Yes,2,O-HIC,3
25~44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,Yes,1,MOZAMBIQUE,1
25~44,Children,1,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,2,GERMANY,2
1~24,Blank,1,0,Volunteering,Cultural tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,70,0,Cash,Yes,1,UNITED KINGDOM,1
1~24,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,20,6,Cash,Yes,2,IRELAND,2
25~44,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Credit Card,Yes,1,UNITED KINGDOM,1
1~24,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,4,Cash,Yes,1,GERMANY,1
1~24,Blank,0,1,Leisure and Holidays,Conference tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,11,3,Cash,Yes,1,FRANCE,2
1~24,Alone,0,1,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,56,0,Credit Card,No,1,UNITED KINGDOM,2
45~64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,Cash,No,1,UNITED KINGDOM,2
45~64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,0,Cash,No,1,UNITED KINGDOM,2
25~44,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,13,10,Cash,No,4,QATAR,3
45~64,Alone,1,0,Scientific and Academic,Mountain climbing,inflight magazines,Package Tour,Yes,Yes,No,No,No,No,No,5,0,Credit Card,No,1,KENYA,2
25~44,Children,0,3,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,29,0,Cash,No,3,UNITED KINGDOM,4
25~44,Blank,1,0,Volunteering,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,27,2,Cash,Yes,1,JAPAN,1
