age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_people,country_new,cost_category
45~64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,0,Cash,No,2,SWIZERLAND,1
25~44,Blank,1,0,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,No,No,No,14,7,Cash,Yes,1,UNITED KINGDOM,2
25~44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,31,Cash,No,1,UNITED KINGDOM,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,0,Cash,Yes,2,UNITED KINGDOM,2
45~64,Alone,0,1,Business,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,0,Cash,Yes,1,SOUTH AFRICA,1
25~44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,1,O-AF,2
25~44,Alone,1,0,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,0,Credit Card,Yes,1,INDIA,2
45~64,Children,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,0,Cash,No,2,CANADA,3
45~64,Children,0,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,11,3,Cash,Yes,2,CANADA,1
65+,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,2,Cash,Yes,1,RWANDA,1
45~64,Friends/Relatives,4,1,Visiting Friends and Relatives,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,0,Cash,No,5,AUSTRIA,2
25~44,Blank,1,0,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,0,Cash,Yes,1,O-ASIA,1
25~44,Blank,1,0,Business,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,KENYA,1
45~64,Blank,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,1,KENYA,1
45~64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,No,No,No,10,0,Credit Card,No,2,SWIZERLAND,2
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,11,Cash,Yes,2,O-NAME,2
1~24,Friends/Relatives,2,2,Scientific and Academic,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,7,Cash,Yes,4,DENMARK,1
45~64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,Cash,Yes,4,SPAIN,4
45~64,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Yes,No,No,6,5,Cash,Yes,2,ITALY,2
1~24,Alone,0,1,Visiting Friends and Relatives,Bird watching,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,No,No,No,2,0,Cash,Yes,1,EGYPT,2
1~24,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,1,MOZAMBIQUE,1
